"","bigram","total_n","The_Sun","Afro_American"
"1","cheltenham school",391,332,59
"2","grand jury",373,261,112
"3","colored boys",329,240,89
"4","training school",278,254,24
"5","receiving stolen",180,178,2
"6","juvenile court",154,80,74
"7","baltimore city",150,116,34
"8","negro boys",139,137,2
"9","prince george's",138,130,8
"10","maryland training",135,123,12
"11","reform school",129,31,98
"12","colored race",120,104,16
"13","george's county",112,108,4
"14","employment commissioner",110,109,1
"15","criminal court",103,92,11
"16","governor o'conor",102,99,3
"17","feeble minded",93,80,13
"18","st mary's",91,80,11
"19","colored house",86,81,5
"20","public welfare",81,75,6
