"year_of_report","total_deaths.x","best_estimate"
1884,1,NA
1885,1,9
1886,3,NA
1887,1,7
1894,NA,NA
1895,1,19
1876,1,4
1888,0,2
1889,1,9
NA,1,NA
1890,0,NA
1905,1,3
1913,NA,3
1891,0,10
1919,1,NA
1892,0,1
1893,0,2
1900,NA,8
1901,0,15
1902,1,NA
1903,1,2
1896,0,NA
1897,1,11
1920,NA,NA
NA,0,NA
NA,NA,NA
1898,3,5
NA,0,NA
1899,1,6
1929,0,NA
1930,0,5
1932,0,11
1931,1,NA
NA,NA,NA
NA,NA,NA
NA,0,NA
NA,NA,NA
NA,1,NA
1860,1,NA
1870,2,NA
NA,2,NA
1872,NA,NA
1942,1,NA
1879,0,6
1991,NA,NA
2006,NA,NA
2007,NA,NA
2008,NA,NA
1873,NA,NA
1874,NA,NA
1875,NA,3
1877,NA,6
1880,NA,7
1881,NA,6
1883,NA,0
1904,NA,2
1907,NA,5
1909,NA,7
1911,NA,4
1915,NA,10
1917,NA,12
1918,NA,9
1921,NA,2
1922,NA,NA
1923,NA,1
1924,NA,NA
1926,NA,3
1927,NA,2
1928,NA,3
1934,NA,11
1936,NA,9
1938,NA,1
1939,NA,2
