death_year,facility,cause,count
1887,cheltenham,tuberculosis,1
1893,cheltenham,tuberculosis,1
1898,cheltenham,tuberculosis,1
1899,cheltenham,tuberculosis,5
1900,cheltenham,tuberculosis,1
1901,cheltenham,tuberculosis,9
1901,jessup,tuberculosis,1
1902,jessup,tuberculosis,1
1904,cheltenham,tuberculosis,1
1905,cheltenham,tuberculosis,1
1906,cheltenham,tuberculosis,2
1907,cheltenham,tuberculosis,3
1908,cheltenham,tuberculosis,2
1909,cheltenham,tuberculosis,1
1910,cheltenham,tuberculosis,1
1911,cheltenham,tuberculosis,1
1911,jessup,tuberculosis,2
1912,jessup,tuberculosis,1
1913,cheltenham,tuberculosis,1
1913,jessup,tuberculosis,2
1914,cheltenham,tuberculosis,5
1915,cheltenham,tuberculosis,4
1915,jessup,tuberculosis,1
1916,cheltenham,tuberculosis,3
1916,jessup,tuberculosis,3
1917,cheltenham,tuberculosis,8
1918,cheltenham,tuberculosis,8
1918,jessup,tuberculosis,1
1919,jessup,tuberculosis,1
1923,cheltenham,tuberculosis,1
1926,cheltenham,tuberculosis,2
1927,cheltenham,tuberculosis,2
1928,cheltenham,tuberculosis,1
1929,cheltenham,tuberculosis,3
1931,cheltenham,tuberculosis,1
1932,cheltenham,tuberculosis,6
1932,jessup,tuberculosis,1
1933,cheltenham,tuberculosis,4
1934,cheltenham,tuberculosis,2
1935,cheltenham,tuberculosis,4
1936,cheltenham,tuberculosis,1
1941,jessup,tuberculosis,1
